Infinitive;Past;Participle;Meaning
Run;Ran;Run;Correr
Say;Said;Said;Decir
See;Saw;Seen;Ver
Seek;Sought;Sought;Buscar
Sell;Sold;Sold;Vender
Send;Sent;Sent;Enviar
Set;Set;Set;Poner(se)
Sew;Sewed;Sewed/Sewn;Coser
Shake;Shook;Shaken;Sacudir
Shear;Shore;Shorn;Esquilar
Shine;Shone;Shone;Brillar
Shoot;Shot;Shot;Disparar
Show;Showed;Shown;Mostrar
Shrink;Shrank;Shrunk;Encogerse
Shut;Shut;Shut;Cerrar
Sing;Sang;Sung;Cantar
Sink;Sank;Sunk;Hundir
Sit;Sat;Sat;Sentarse
Sleep;Slept;Slept;Dormir
Slide;Slid;Slid;Resbalar
Smell;Smelt;Smelt;Oler
Sow;Sowed;Sowed/Sown;Sembrar
Speak;Spoke;Spoken;Hablar
Speed;Sped;Sped;Acelerar
Spell;Spelt;Spelt;Deletrear
Spend;Spent;Spent;Gastar
Spill;Spilt/Spilled;Spilt/Spilled;Derramar
Spin;Spun;Spun;Hilar
Spit;Spat;Spat;Escupir
Split;Split;Split;Hender / partir / rajar
Spoil;Spoilt/Spoiled;Spoilt/Spoiled;Estropear
Spread;Spread;Spread;Extender
Spring;Sprang;Sprung;Saltar
Stand;Stood;Stood;Estar en pie
Steal;Stole;Stolen;Robar
Stick;Stuck;Stuck;Pegar Engomar
Sting;Stung;Stung;Picar
Stink;Stank/Stunk;Stunk;Apestar
Stride;Strode;Stridden;Dar zancadas
Strike;Struck;Struck;Golpear
Swear;Swore;Sworn;Jurar
Sweat;Sweat;Sweat;Sudar
Sweep;Swept;Swept;Barrer
Swell;Swelled;Swollen;Hinchar
Swim;Swam;Swum;Nadar
Swing;Swung;Swung;Columpiarse
Take;Took;Taken;Coger
Teach;Taught;Taught;Enseñar
Tear;Tore;Torn;Rasgar
Tell;Told;Told;Decir
Think;Thought;Thought;Pensar
Throw;Threw;Thrown;Arrojar Tirar
Thrust;Thrust;Thrust;Introducir
Tread;Trod;Trodden;Pisar, hollar
Understand;Understood;Understood;Entender
Undergo;Underwent;Undergone;Sufrir
Undertake;Undertook;Undertaken;Emprender
Wake;Woke;Woken;Despertarse
Wear;Wore;Worn;Llevar puesto
Weave;Wove;Woven;Tejer
Weep;Wept;Wept;Llorar
Wet;Wet;Wet;Mojar
Win;Won;Won;Ganar
Wind;Wound;Wound;Enrollar
Withdraw;Withdrew;Withdrawn;Retirarse
Wring;Wrung;Wrung;Torcer
Write;Wrote;Written;Escribir
